,Codigo_Municipio,Codigo_Municipio Latitude,Codigo_Municipio Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
113,25372,4.7903,-73.6601,Junin Cundinamarca,4.790331388699348,-73.66364353045073,Plaza
114,25377,4.7207,-73.9693,Casa Municipal de La Calera,4.719927519267969,-73.96895012216255,Historic Site
115,25377,4.7207,-73.9693,Olivar Delicias Campesinas La Calera,4.719850884369086,-73.96901160790436,Bakery
116,25377,4.7207,-73.9693,Restaurantes de carretera la calera,4.720072606736789,-73.96705247348862,Breakfast Spot
117,25377,4.7207,-73.9693,Asadero De Arepas La Caleruna,4.720170015138988,-73.96698943016919,Arepa Restaurant
118,25377,4.7207,-73.9693,Superdroguería Olímpica La Calera,4.719654333273028,-73.96895170211792,Pharmacy
119,25377,4.7207,-73.9693,Restaurante Villa Peruana,4.720526,-73.966467,Peruvian Restaurant
120,25377,4.7207,-73.9693,Tu Estación Café,4.7209374269199404,-73.9680290222168,Café
121,25095,4.8725,-74.5393,Bituima,4.87201484782923,-74.53891592514422,Department Store
122,25328,4.8774,-74.4674,Restaurante Mi Mama,4.876471,-74.4671,Restaurant
123,25328,4.8774,-74.4674,El Turista,4.877681,-74.465984,BBQ Joint
124,25662,4.8478,-74.6215,El Deleite,4.8457193,-74.622765,Coffee Shop
125,25662,4.8478,-74.6215,Parque Principal San Juan De Rioseco,4.845452950582781,-74.6224182844162,Historic Site
126,25867,4.8738,-74.5624,Viani,4.874565239216674,-74.56239501535318,Rest Area
127,25867,4.8738,-74.5624,Parque principal de Viani,4.874540332062195,-74.5627909509089,Park
128,25438,4.5101,-73.3498,Parque principal - Medina,4.509675979614258,-73.35075378417969,Park
129,25530,4.3758,-73.2155,Paratebueno,4.376312178005474,-73.21444361069834,Plaza
130,25530,4.3758,-73.2155,Paratebueno,4.3770987291409105,-73.2186026577787,Diner
131,25151,4.4057,-73.9468,Parque Central,4.405802157052409,-73.94603501146374,Park
132,25151,4.4057,-73.9468,Restaurante Maria E,4.404998707669443,-73.94757479708639,American Restaurant
133,25151,4.4057,-73.9468,La Heladeria Café- Bar,4.40545651810004,-73.94636361091877,Snack Place
134,25151,4.4057,-73.9468,Hotel La Puerta Del Llano,4.405503310914798,-73.94797087053819,Hotel
135,25151,4.4057,-73.9468,19|32,4.405062,-73.946286,Restaurant
136,25151,4.4057,-73.9468,La Pampa,4.407909,-73.948857,Restaurant
137,25151,4.4057,-73.9468,Club Penalty Fútbol 5,4.408596977251451,-73.94830166913984,Soccer Field
138,25151,4.4057,-73.9468,Delicias los parrado,4.413213615638119,-73.94525000177941,Coffee Shop
139,25151,4.4057,-73.9468,La Vara Asados,4.414539404781894,-73.94845304581948,BBQ Joint
140,25151,4.4057,-73.9468,La vara,4.41447144146648,-73.9485606961368,Bed & Breakfast
141,25178,4.4425,-74.0442,parque central chipaque,4.442628800187496,-74.04303933296426,Park
142,25178,4.4425,-74.0442,El Huerto Orgánico,4.443557763907542,-74.04411940244677,Health Food Store
143,25178,4.4425,-74.0442,mustapan chipaque,4.44338092644943,-74.04434744262724,Bakery
144,25178,4.4425,-74.0442,Cantera Gmina S.a.s,4.449618594354415,-74.0432171905089,Mountain
145,25178,4.4425,-74.0442,Stop & Ville,4.448912728158538,-74.04047472341162,Bar
146,25181,4.529,-73.9227,El Campanario,4.52905622406091,-73.92194310472316,Mexican Restaurant
147,25181,4.529,-73.9227,"Restaurante Suizo, Choachí",4.527822160144626,-73.92341829613665,Swiss Restaurant
148,25181,4.529,-73.9227,Choachi,4.529161567183062,-73.92288461984715,Park
149,25181,4.529,-73.9227,La Montaña,4.52849835768315,-73.92223015250043,Burger Joint
150,25181,4.529,-73.9227,"Plaza Central, Choachi",4.528828641362131,-73.92299943845262,Plaza
151,25181,4.529,-73.9227,Choachimilco,4.529583,-73.922686,Hotel
152,25181,4.529,-73.9227,La Bella Suiza Choachí,4.534803,-73.919186,Swiss Restaurant
153,25279,4.488,-73.8975,Hotel el Parque Fómeque,4.486594739436847,-73.89556734867192,Hotel
154,25279,4.488,-73.8975,"Parque ""Jesús Maestro""",4.485968777513931,-73.8951137509176,Park
155,25335,4.2147,-73.8172,Restaurante,4.218794642068464,-73.81599371358524,Snack Place
156,25339,4.2547,-74.0025,"Gutiérrez, Cundinamarca",4.253916,-74.002311,Mountain
157,25841,4.4867,-73.9375,Parque Principal De Ubaque,4.48281377013649,-73.93463595197066,Park
158,25845,4.4031,-74.0253,Parque principal Une,4.403532312042301,-74.02485682452063,Tourist Information Center
159,25258,8.9869,-73.947,STANKUSS,8.988683453666836,-73.95054638385773,Beer Bar
160,25394,5.3592,-74.3905,"La palma, Cundinamarca",5.359522069275553,-74.39037488266707,Stables
161,25394,5.3592,-74.3905,Rancho JD,5.3581671714782715,-74.3885726928711,Restaurant
